Iphone	tag	zhi_score	phone_score	guide_score	risk_level	high_orders	airport_orders	company	consume	area
7580594	0	3	72	0	1	0	0	0.597	0.436	0
7897298	0	3	4	0	1	0	0	0.122	0.446	0
1250065	0	4	3	0	1	1	3	0.269	0.315	0
6053540	0	4	3	0	1	0	0	0.702	0.055	0
5825053	0	5	4	0	1	0	0	0.076	0.112	0
6247756	0	5	3	0	1	0	1	1	0.469	0
9879933	0	4	4	0	1	0	4	0.229	0.295	0
8260079	0	4	4	0	1	0	14	0.745	0.909	0
4309328	0	2	3	0	1	0	0	0.331	0.46	0
2285338	0	4	9	0	1	0	4	0.353	0.468	0
647411	0	5	2	0	1	0	0	1	0.26	0
6126114	0	6	4	0	1	7	0	0.704	0.486	0
1027504	0	5	3	0	1	0	0	0.864	0.279	0
7335311	0	2	3	0	1	0	17	0.551	0.523	0
4818913	0	4	3	0	1	0	0	0.555	0.481	0
7737545	0	4	3	0	1	0	9	0.74	0.518	0
2767970	0	4	8	0	1	0	5	0.845	0.229	0
8951300	0	5	2	0	1	0	0	0.64	0.612	0
1531124	0	3	3	0	1	23	76	0.961	0.939	0
610913	0	5	6	0	1	0	1	1	0.719	1
8707519	0	5	4	0	1	0	0	0.402	0.326	0
2903221	0	2	4	0	1	0	0	0.878	0.119	0
6193553	0	5	4	0	1	0	0	0.591	0.251	0
8454475	0	6	3	0	1	0	2	0.987	0.498	0
8486628	0	3	3	0	1	1	0	1	0.47	0
4660731	0	3	4	0	0	0	9	0.981	0.422	0
5351329	0	3	4	0	1	2	2	0.925	0.317	0
181805	0	2	4	0	1	0	1	0.845	0.601	0
5318580	0	4	3	0	1	0	0	0.367	0.305	0
8698037	0	4	2	0	1	0	0	0.62	0.439	0
8601433	0	3	3	0	1	0	0	0	0	0
4531547	0	5	3	10	1	0	0	0.414	0.136	0
8106632	0	4	16	0	1	0	0	0	0.167	0
6008910	0	3	3	0	1	0	0	0.43	0.277	0
9602525	0	6	4	0	1	0	0	1	0.459	0
4039237	0	5	4	0	1	2	4	0.047	0.942	0
1405500	0	4	4	0	1	0	0	0.114	0.125	0
6079812	0	5	3	0	1	0	0	0.524	0.285	1
4184143	0	5	4	0	1	0	1	0.657	0.535	0
9630488	0	4	4	0	1	0	0	0.819	0.812	0
9566402	0	4	6	0	1	1	2	0.733	0.71	0
75951	0	3	4	0	1	0	0	0.775	0.683	1
2226423	0	5	6	0	1	0	0	0.969	0.221	0
4261353	0	3	3	0	1	0	0	0.049	0.306	0
4582122	0	4	4	5	1	0	0	0.63	0.33	0
8331777	0	4	4	0	1	5	1	0.754	0.806	0
6502874	0	6	4	0	1	0	0	0.63	0.681	0
8842582	0	6	3	0	1	0	6	0.919	0.992	1
9631478	0	5	4	0	1	0	0	0.82	0.493	0
5073494	0	5	3	0	1	0	0	0.101	0.082	0
3369047	0	3	3	0	1	0	0	0.109	0.645	0
9740845	0	5	4	0	1	0	10	0.791	0.365	0
6756768	0	4	14	0	1	0	0	0.072	0.342	1
4027685	0	3	4	0	1	0	0	0.044	0.594	0
278399	0	6	4	0	1	0	0	0.375	0.26	0
4182413	0	4	3	0	1	0	0	0.359	0.235	0
6597926	0	2	3	0	1	0	0	0.469	0.423	0
1527234	0	6	6	0	1	0	0	0.925	0.18	1
6034131	0	4	8	5	1	0	0	0	0	1
4206997	0	3	8	0	1	0	0	0.158	0	0
9533987	0	5	4	0	1	1	22	1	0.93	0
6855578	0	6	3	0	1	0	0	0.919	0.634	0
141824	0	5	4	0	1	0	0	0.962	0.286	0
384460	0	3	4	0	1	0	0	0.697	0.435	0
4161392	0	6	8	0	1	0	0	1	0.361	0
6097152	0	4	4	0	1	0	0	0.159	0.146	0
9286194	0	6	4	0	1	0	0	1	0.503	0
7955834	0	2	4	5	1	2	0	0.327	0.518	0
5770181	0	5	3	0	1	0	8	0.987	0.579	1
7120218	0	3	3	0	0	0	0	0.278	0.078	0
6289372	0	3	4	0	1	0	0	0.926	0.078	0
2350198	0	5	4	0	1	0	1	0.322	0.305	0
146220	0	4	2	0	1	0	0	0.209	0.447	0
8644066	0	5	3	0	1	0	8	0.714	0.154	0
9856195	0	2	4	0	0	0	1	0.922	0.365	0
5490666	0	4	6	0	0	0	0	0.072	0.445	0
4148642	0	5	3	0	1	0	0	0.891	0.846	0
426951	0	7	4	0	1	0	0	0.147	0.35	0
6577588	0	1	3	0	0	0	1	0.854	0.166	0
7154090	0	3	8	0	1	0	0	0.93	0.403	0
7109458	0	4	94	0	1	0	0	0.667	0.609	0
4368354	0	3	4	0	1	0	0	0.617	0.409	0
